id,event_type,event_cause,address,latitude,longitude,junction,zone,corridor,start_datetime,end_datetime,requires_road_closure,priority,direction,status,description,police_station,closed_datetime,resolved_datetime,created_by_id,duration_min,start_hour
FKID000008,planned,public_event,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",12.97883573,77.59953728,QueensStatueCircle,unknown,CBD 2,2024-02-12 02:05:46+00:00,2024-02-12 14:05:46+00:00,False,High,unknown,closed,"Cricket Match at M Chinnaswamy Satdium, [LOCATION].",Cubbon Park,,,FKUSR00009,720.0,2.0
FKID000040,planned,construction,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.946469,77.6986754,unknown,unknown,ORR East 1,,2024-01-30 11:31:46+00:00,False,High,unknown,closed,[LOCATION] works going on sir,HAL Old Airport,,,FKUSR00031,,
FKID000045,planned,construction,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",13.0085677,77.6131497,unknown,unknown,Non-corridor,,2024-01-30 21:20:46+00:00,True,Low,unknown,closed,,K.G. Halli,,,FKUSR00036,,
FKID000052,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9694079,77.7006346,unknown,unknown,ORR East 2,,2024-01-31 09:05:46+00:00,False,High,unknown,closed,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,HAL Old Airport,,,FKUSR00043,,
FKID000082,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.969418,77.7006526,unknown,unknown,ORR East 2,,2024-03-08 10:05:46+00:00,False,High,unknown,closed,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,HAL Old Airport,,,FKUSR00043,,
FKID000139,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9693576,77.7006406,unknown,unknown,ORR East 2,,2024-02-01 09:05:46+00:00,False,High,unknown,closed,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,HAL Old Airport,,,FKUSR00043,,
FKID000158,planned,construction,"St Marks Road, Anil Kumble Chowk, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.9762232,77.6016656,unknown,unknown,Old Madras Road,,2024-01-31 18:26:46+00:00,False,High,unknown,closed,Off road bmtc bus,Cubbon Park,,,FKUSR00124,,
FKID000166,planned,construction,"Bengaluru Bellary Road, Hunsemarrenhalli Junction, Hunasamaranahalli, Bengaluru, Karnataka. Pin-562157 (India)",13.1511992,77.620242,unknown,unknown,Bellary Road 2,,2024-02-01 06:07:46+00:00,False,High,unknown,closed,"ನಮಸ್ತೆ ಸರ್, ಟೊಯೋಟಾ ಶೋರೂಮ್ ಹತ್ತಿರ ಟುವರ್ಡ್ಸ್ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆ ರೋಡ್  ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರಿಂದ ಟ್ರಾಫಿಕ್ ಮೂಮೆಂಟ್ಸ್ ಸ್ಲೋ  ಆಗಿರುತ್ತದೆ",Chikkajala,2024-02-01 00:39:55.771653+00:00,,FKUSR00132,,
FKID000192,planned,construction,"Hesaraghatta Main Road, Sri M Vishveshwaraiah Layout, Chikkabanavara, Bengaluru, Karnataka. Pin-560090 (India)",13.07835,77.502205,unknown,unknown,Non-corridor,,2024-03-08 04:32:46+00:00,False,Low,unknown,closed,k ride work,Chikkabanavara,,,FKUSR00148,,
FKID000229,planned,construction,"Mysore Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",12.965034,77.5747048,unknown,unknown,Mysore Road,,2024-02-01 11:31:46+00:00,True,High,unknown,closed,ರಸ್ತೆ ಕಾಮಗಾರಿ ಸಲುವಾಗಿ ಮಾರ್ಕೆಟ್ ಸರ್ಕಲ ಕಡೆ ಹೋಗುವ flyover ಮುಚ್ಚಲಾಗಿರುತ್ತದೆ,City Market,,,FKUSR00178,,
