id,event_type,event_cause,address,latitude,longitude,junction,zone,corridor,start_datetime,end_datetime,requires_road_closure,priority,direction,status,description,veh_type,police_station,closed_datetime,resolved_datetime,resolved_at_address,resolved_at_latitude,resolved_at_longitude,created_by_id,duration_min,start_hour
FKID000000,unplanned,vehicle_breakdown,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",13.0400041,77.5180991,unknown,unknown,Tumkur Road,2024-03-07 17:01:48.111000+00:00,,False,High,unknown,closed,s m circle in coming  man track,lcv,Peenya,,,,,,FKUSR00000,,17.0
FKID000001,unplanned,vehicle_breakdown,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",12.9218755,77.6451585,unknown,unknown,ORR East 1,2024-01-30 04:07:24.173000+00:00,,False,High,unknown,resolved,Starting problem,heavy_vehicle,HSR Layout,,2024-01-30 04:17:46.828355+00:00,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",12.9218755,77.6451585,FKUSR00002,10.4,4.0
FKID000002,unplanned,others,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",12.955622,77.5857083,UrvashiJunction,Central Zone 2,Non-corridor,2023-11-11 06:18:03.343000+00:00,,False,Low,unknown,closed,ಊರ್ವಶಿ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಒಳಚರಂಡಿ ಚೇಂಬರ್ ಗೆ ಹೊಸದಾಗಿ ಸಿಮೆಂಟ್ ಹಾಕಿದ್ದು ಟ್ರಾಫಿಕ್ ಮೂವ್ಮೆಂಟ್ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್🙏,unknown,Wilson Garden,2024-01-30 04:56:03.281509+00:00,,,,,FKUSR00003,115118.0,6.0
FKID000003,unplanned,tree_fall,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",13.0061469,77.5794348,unknown,unknown,Non-corridor,2024-03-07 17:56:55.061000+00:00,,True,Low,unknown,closed,tree fall,unknown,Sadashivanagar,2024-03-14 07:42:05.549440+00:00,,,,,FKUSR00004,9465.2,17.0
FKID000004,unplanned,vehicle_breakdown,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",12.95398,77.5852333,LalbaghMainGateJunc,unknown,Non-corridor,2024-01-30 04:56:32.348000+00:00,,False,Low,unknown,closed,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,private_bus,Wilson Garden,2024-01-30 05:35:17.338283+00:00,,,,,FKUSR00003,38.7,4.0
FKID000005,unplanned,accident,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",13.0664854,77.5998755,unknown,North Zone 1,Non-corridor,2023-11-28 03:07:27.292421+00:00,,False,Low,unknown,closed,,unknown,Hebbala,,,,,,FKUSR00005,,3.0
FKID000006,unplanned,vehicle_breakdown,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",12.9328703,77.4879814,unknown,unknown,Non-corridor,2024-01-30 07:26:26.739000+00:00,,False,Low,unknown,closed,ಬಿಎಂಟಿಸಿ ಬಸ್ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,bmtc_bus,Kengeri,,,,,,FKUSR00007,,7.0
FKID000007,unplanned,others,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.973175,77.6003961,unknown,unknown,Non-corridor,2024-01-30 06:05:59.339000+00:00,,False,Low,unknown,closed,ಕಾಫಿ ಡೇ ಇಂದ ರೋಟರಿ ಸರ್ಕಲ್ ವರೆಗೆ ಬಿ ಡಬ್ಲ್ಯೂ ಎಸ್ ಎಸ್ ಬಿ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ ಟ್ರಾಫಿಕ್ ಗೆ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ,unknown,Cubbon Park,2024-02-16 01:28:18.330429+00:00,,,,,FKUSR00008,24202.3,6.0
FKID000009,unplanned,vehicle_breakdown,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",13.0373543,77.6540442,unknown,unknown,Non-corridor,2024-01-30 05:25:50.078000+00:00,,False,Low,unknown,closed,,lcv,Hennuru,,,,,,FKUSR00010,,5.0
FKID000010,unplanned,water_logging,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",13.0008457,77.6813712,unknown,unknown,ORR East 2,2024-03-07 18:01:40.182000+00:00,,False,High,unknown,closed,woter logging [PERSON] moment ph [PHONE],unknown,K.R. Pura,2024-03-14 05:49:58.160945+00:00,,,,,FKUSR00011,9348.3,18.0
